#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.419470293486041E+02   0.238395904436860E-01   0.152840028613694E+00
  0.419170243204578E+02   0.238566552901024E-01   0.136927316684202E+00
  0.418870621872766E+02   0.238737201365188E-01   0.108619280070004E+00
  0.418571428571429E+02   0.238907849829352E-01   0.744808758775628E-01
  0.418272662384011E+02   0.239078498293515E-01   0.421202777526376E-01
  0.417974322396576E+02   0.239249146757679E-01   0.181602246540924E-01
  0.417676407697790E+02   0.239419795221843E-01   0.653002008404521E-02
  0.417378917378917E+02   0.239590443686007E-01   0.756969862806003E-02
  0.417081850533808E+02   0.239761092150171E-01   0.181668281404851E-01
  0.416785206258890E+02   0.239931740614334E-01   0.328951638915984E-01
  0.416488983653163E+02   0.240102389078498E-01   0.458099584160389E-01
  0.416193181818182E+02   0.240273037542662E-01   0.523293488189409E-01
  0.415897799858055E+02   0.240443686006826E-01   0.506797028960826E-01
  0.415602836879433E+02   0.240614334470990E-01   0.423829889055088E-01
  0.415308291991495E+02   0.240784982935154E-01   0.317072495173327E-01
  0.415014164305949E+02   0.240955631399317E-01   0.242062130174843E-01
  0.414720452937013E+02   0.241126279863481E-01   0.248013850525423E-01
  0.414427157001414E+02   0.241296928327645E-01   0.360370314521716E-01
  0.414134275618375E+02   0.241467576791809E-01   0.570180710572894E-01
  0.413841807909605E+02   0.241638225255973E-01   0.834861071253730E-01
  0.413549752999294E+02   0.241808873720137E-01   0.108917238589034E+00
  0.413258110014104E+02   0.241979522184300E-01   0.126401566853181E+00
  0.412966878083157E+02   0.242150170648464E-01   0.130751184840356E+00
  0.412676056338028E+02   0.242320819112628E-01   0.120113650760170E+00
  0.412385643912738E+02   0.242491467576792E-01   0.966632377388151E-01
  0.412095639943741E+02   0.242662116040956E-01   0.660563758879888E-01
  0.411806043569923E+02   0.242832764505119E-01   0.359179946517251E-01
  0.411516853932584E+02   0.243003412969283E-01   0.136531611305528E-01
  0.411228070175439E+02   0.243174061433447E-01   0.437724543073092E-02
  0.410939691444600E+02   0.243344709897611E-01   0.949737478081825E-02
  0.410651716888577E+02   0.243515358361775E-01   0.263958428341852E-01
  0.410364145658263E+02   0.243686006825939E-01   0.492700249819011E-01
  0.410076976906928E+02   0.243856655290102E-01   0.708925905647550E-01
  0.409790209790210E+02   0.244027303754266E-01   0.847215147321693E-01
  0.409503843466108E+02   0.244197952218430E-01   0.867567818671462E-01
  0.409217877094972E+02   0.244368600682594E-01   0.765937565552172E-01
  0.408932309839497E+02   0.244539249146758E-01   0.573849159895833E-01
  0.408647140864714E+02   0.244709897610921E-01   0.347621199929038E-01
  0.408362369337979E+02   0.244880546075085E-01   0.151318277544861E-01
  0.408077994428969E+02   0.245051194539249E-01   0.376814569454300E-02
  0.407794015309673E+02   0.245221843003413E-01   0.334533690728366E-02
  0.407510431154381E+02   0.245392491467577E-01   0.132771689681810E-01
  0.407227241139680E+02   0.245563139931741E-01   0.300170915694257E-01
  0.406944444444444E+02   0.245733788395904E-01   0.481977403072551E-01
  0.406662040249827E+02   0.245904436860068E-01   0.622310361721514E-01
  0.406380027739251E+02   0.246075085324232E-01   0.679230042757295E-01
  0.406098406098406E+02   0.246245733788396E-01   0.636151731869677E-01
  0.405817174515235E+02   0.246416382252560E-01   0.506366794159863E-01
  0.405536332179931E+02   0.246587030716724E-01   0.329065691617987E-01
  0.405255878284924E+02   0.246757679180887E-01   0.158506933665158E-01
  0.404975812024879E+02   0.246928327645051E-01   0.496349604235579E-02
  0.404696132596685E+02   0.247098976109215E-01   0.434059822787790E-02
  0.404416839199448E+02   0.247269624573379E-01   0.155744889732055E-01
  0.404137931034483E+02   0.247440273037543E-01   0.372668240600185E-01
